,Date,Open,High,Low,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
1207,"Jul 21, 2020",246.22,246.91,240.08,241.75,240.62,"19,364,200"
1208,"Jul 20, 2020",240.06,246.05,235.64,245.42,244.27,"20,872,200"
1209,"Jul 17, 2020",241.00,244.16,237.86,242.03,240.89,"18,152,400"
1210,"Jul 16, 2020",238.00,241.76,236.33,240.93,239.80,"18,880,700"
1211,"Jul 15, 2020",241.55,244.82,238.05,240.28,239.15,"19,133,600"
1212,"Jul 14, 2020",236.76,240.33,232.03,239.73,238.61,"23,378,100"
1213,"Jul 13, 2020",247.01,250.15,238.42,239.00,237.88,"24,674,900"
1214,"Jul 10, 2020",243.69,245.49,239.32,245.07,243.92,"22,982,700"
1215,"Jul 9, 2020",245.00,246.53,239.24,244.50,243.35,"22,174,900"
1216,"Jul 8, 2020",238.11,246.99,236.59,243.58,242.44,"29,791,300"
1217,"Jul 7, 2020",239.41,247.65,238.82,240.86,239.73,"27,887,800"
1218,"Jul 6, 2020",233.76,240.40,232.27,240.28,239.15,"26,206,200"
1219,"Jul 2, 2020",239.00,240.00,232.61,233.42,232.33,"30,633,600"
1220,"Jul 1, 2020",228.50,239.00,227.56,237.55,236.44,"43,399,700"
1221,"Jun 30, 2020",220.59,227.50,218.47,227.07,226.00,"33,927,100"
1222,"Jun 29, 2020",209.75,220.75,207.11,220.64,219.60,"58,514,300"
1223,"Jun 26, 2020",232.64,233.09,215.40,216.08,215.07,"76,343,900"
1224,"Jun 25, 2020",234.62,237.30,232.74,235.68,234.57,"18,704,300"
1225,"Jun 24, 2020",241.20,243.22,232.68,234.02,232.92,"20,834,900"
1226,"Jun 23, 2020",241.28,245.19,239.86,242.24,241.10,"24,017,900"
1227,"Jun 22, 2020",238.56,240.70,236.91,239.22,238.10,"18,917,800"
1228,"Jun 19, 2020",237.79,240.83,235.55,238.79,237.67,"30,081,300"
1229,"Jun 18, 2020",234.99,236.14,232.15,235.94,234.83,"15,782,500"
1230,"Jun 17, 2020",235.00,237.59,231.73,235.53,234.43,"19,578,100"
1231,"Jun 16, 2020",237.14,238.46,233.00,235.65,234.54,"15,236,700"
1232,"Jun 15, 2020",225.09,233.77,224.80,232.50,231.41,"15,340,300"
1233,"Jun 12, 2020",229.90,231.66,224.50,228.58,227.51,"22,091,400"
1234,"Jun 11, 2020",229.94,232.89,223.55,224.43,223.38,"26,708,200"
1235,"Jun 10, 2020",240.96,241.21,235.28,236.73,235.62,"20,720,700"
1236,"Jun 9, 2020",231.52,239.77,230.41,238.67,237.55,"27,462,900"
1237,"Jun 8, 2020",229.03,231.55,227.41,231.40,230.31,"15,466,500"
1238,"Jun 5, 2020",226.71,231.35,225.31,230.77,229.69,"16,750,400"
1239,"Jun 4, 2020",229.56,231.63,224.61,226.29,225.23,"17,041,500"
1240,"Jun 3, 2020",232.11,232.65,228.53,230.16,229.08,"15,380,300"
1241,"Jun 2, 2020",230.94,233.00,226.56,232.72,231.63,"20,919,000"
1242,"Jun 1, 2020",224.59,232.44,223.50,231.91,230.82,"18,223,800"
1243,"May 29, 2020",225.20,227.49,222.88,225.09,224.03,"23,241,500"
1244,"May 28, 2020",224.30,231.63,224.00,225.46,224.40,"29,377,200"
1245,"May 27, 2020",229.07,230.56,221.13,229.14,228.07,"34,697,600"
1246,"May 26, 2020",239.77,240.90,231.67,232.20,231.11,"33,178,300"
1247,"May 22, 2020",231.51,235.99,228.74,234.91,233.81,"33,925,600"
1248,"May 21, 2020",234.72,237.20,231.20,231.39,230.30,"47,782,600"
1249,"May 20, 2020",223.50,231.34,223.19,229.97,228.89,"50,162,900"
1250,"May 19, 2020",213.27,220.49,212.83,216.88,215.86,"31,843,200"
1251,"May 18, 2020",212.15,214.64,210.94,213.19,212.19,"20,151,900"
1252,"May 15, 2020",205.27,211.34,204.12,210.88,209.89,"19,383,200"
1253,"May 14, 2020",202.56,206.93,200.69,206.81,205.84,"17,178,900"
1254,"May 13, 2020",209.43,210.78,202.11,205.10,204.14,"20,684,600"
1255,"May 12, 2020",213.29,215.28,210.00,210.10,209.11,"14,704,600"
1256,"May 11, 2020",210.89,215.00,210.37,213.18,212.18,"12,911,900"
1257,"May 8, 2020",212.24,213.21,210.85,212.35,211.35,"12,506,000"
1258,"May 7, 2020",211.16,211.60,209.04,211.26,210.27,"15,152,000"
1259,"May 6, 2020",208.12,211.60,206.66,208.47,207.49,"21,857,000"
1260,"May 5, 2020",207.02,210.38,206.50,207.07,206.10,"21,071,200"
1261,"May 4, 2020",200.20,205.91,198.76,205.26,204.30,"19,250,700"
1262,"May 1, 2020",201.60,207.28,199.05,202.27,201.32,"30,415,600"
1263,"Apr 30, 2020",206.92,209.69,201.57,204.71,203.75,"46,230,100"
1264,"Apr 29, 2020",190.93,196.91,190.00,194.19,193.28,"45,954,500"
1265,"Apr 28, 2020",188.66,189.20,182.56,182.91,182.05,"21,731,000"
1266,"Apr 27, 2020",192.66,193.75,187.41,187.50,186.62,"29,197,800"
1267,"Apr 24, 2020",183.23,190.41,180.83,190.07,189.18,"28,792,000"
1268,"Apr 23, 2020",184.08,187.05,183.15,185.13,184.26,"21,426,600"
1269,"Apr 22, 2020",178.45,184.78,178.14,182.28,181.42,"33,242,000"
1270,"Apr 21, 2020",175.25,175.38,168.34,170.80,170.00,"24,850,500"
1271,"Apr 20, 2020",177.41,180.50,176.77,178.24,177.40,"16,110,700"
1272,"Apr 17, 2020",179.20,180.28,176.66,179.24,178.40,"20,974,800"
1273,"Apr 16, 2020",177.95,178.05,172.51,176.25,175.42,"23,593,200"
1274,"Apr 15, 2020",175.19,178.19,172.82,176.97,176.14,"17,423,000"
1275,"Apr 14, 2020",178.98,181.23,176.62,178.17,177.33,"21,011,800"
1276,"Apr 13, 2020",173.67,175.00,169.45,174.79,173.97,"19,355,400"
1277,"Apr 9, 2020",175.90,177.08,171.57,175.19,174.37,"23,534,300"
1278,"Apr 8, 2020",171.25,175.00,167.74,174.28,173.46,"21,664,200"
1279,"Apr 7, 2020",171.79,173.39,166.01,168.83,168.04,"31,411,900"
1280,"Apr 6, 2020",160.15,166.20,158.51,165.55,164.77,"28,453,600"
1281,"Apr 3, 2020",157.15,157.91,150.83,154.18,153.46,"25,983,300"
1282,"Apr 2, 2020",159.10,161.35,155.92,158.19,157.45,"20,886,300"
1283,"Apr 1, 2020",161.62,164.15,158.04,159.60,158.85,"19,507,600"
1284,"Mar 31, 2020",165.48,170.93,164.20,166.80,166.02,"23,676,300"
1285,"Mar 30, 2020",159.18,166.75,158.06,165.95,165.17,"22,515,200"
1286,"Mar 27, 2020",158.20,160.09,154.75,156.79,156.05,"24,879,900"
1287,"Mar 26, 2020",158.25,164.00,157.02,163.34,162.57,"26,556,800"
1288,"Mar 25, 2020",158.92,162.99,153.06,156.21,155.48,"35,184,300"
1289,"Mar 24, 2020",155.21,161.31,152.57,160.98,160.22,"30,440,400"
1290,"Mar 23, 2020",149.66,152.31,142.25,148.10,147.41,"29,830,800"
